filename,class,xmin,ymin,xmax,ymax
001_nl_b334_051_01.jpg,line,40,50,594,129
001_nl_b334_051_01.jpg,line,40,150,594,228
001_nl_b334_051_01.jpg,line,44,274,598,352
001_nl_b334_051_01.jpg,line,44,387,598,465
001_nl_b334_051_01.jpg,line,44,498,598,577
002_nl_b393_077_01.jpg,line,34,61,592,157
002_nl_b393_077_01.jpg,line,34,194,592,290
002_nl_b393_077_01.jpg,line,34,288,592,384
002_nl_b393_077_01.jpg,line,34,381,591,477
002_nl_b393_077_01.jpg,line,33,481,591,577
002_nl_b393_077_01.jpg,line,4,259,17,389
003_sr_bo_05_001.jpg,line,54,76,572,160
003_sr_bo_05_001.jpg,line,55,178,568,262
003_sr_bo_05_001.jpg,line,55,292,575,394
003_sr_bo_05_001.jpg,line,53,412,573,502
003_sr_bo_05_001.jpg,line,51,521,575,617
004_sr_bo_06_001.jpg,line,56,68,573,172
004_sr_bo_06_001.jpg,line,54,178,570,276
004_sr_bo_06_001.jpg,line,54,270,577,368
004_sr_bo_06_001.jpg,line,54,368,576,460
004_sr_bo_06_001.jpg,line,53,480,573,570
005_nl_a128_173_02.jpg,line,66,5,576,147
005_nl_a128_173_02.jpg,line,70,150,577,238
005_nl_a128_173_02.jpg,line,66,271,573,359
005_nl_a128_173_02.jpg,line,67,372,573,460
005_nl_a128_173_02.jpg,line,66,484,573,573
006_sr_bo_05_004.jpg,line,53,40,569,178
006_sr_bo_05_004.jpg,line,53,176,569,314
006_sr_bo_05_004.jpg,line,53,282,568,358
006_sr_bo_05_004.jpg,line,54,401,569,477
006_sr_bo_05_004.jpg,line,54,507,568,583
007_efeo_201_01_04.jpg,line,87,83,599,148
007_efeo_201_01_04.jpg,line,87,187,599,252
007_efeo_201_01_04.jpg,line,86,296,598,361
007_efeo_201_01_04.jpg,line,85,393,597,459
007_efeo_201_01_04.jpg,line,85,480,597,545
008_nl_a161_304_01.jpg,line,61,61,578,153
008_nl_a161_304_01.jpg,line,61,175,578,266
008_nl_a161_304_01.jpg,line,61,276,578,367
008_nl_a161_304_01.jpg,line,61,384,578,475
008_nl_a161_304_01.jpg,line,65,480,582,571
009_sr_bo_07_004.jpg,line,34,23,605,88
009_sr_bo_07_004.jpg,line,33,131,604,196
009_sr_bo_07_004.jpg,line,35,258,606,323
009_sr_bo_07_004.jpg,line,33,404,603,470
009_sr_bo_07_004.jpg,line,32,505,603,571
010_nl_a158_253_02.jpg,line,67,12,579,137
010_nl_a158_253_02.jpg,line,68,160,580,285
010_nl_a158_253_02.jpg,line,67,263,580,387
010_nl_a158_253_02.jpg,line,67,398,579,523
010_nl_a158_253_02.jpg,line,65,495,577,620
011_sr_bo_04_002.jpg,line,63,24,576,131
011_sr_bo_04_002.jpg,line,62,148,575,255
011_sr_bo_04_002.jpg,line,62,260,574,367
011_sr_bo_04_002.jpg,line,63,354,575,461
011_sr_bo_04_002.jpg,line,66,472,578,579
011_sr_bo_04_002.jpg,line,34,245,51,329
012_sr_bo_05_005.jpg,line,62,75,571,147
012_sr_bo_05_005.jpg,line,62,172,570,244
012_sr_bo_05_005.jpg,line,61,270,570,342
012_sr_bo_05_005.jpg,line,62,378,571,450
012_sr_bo_05_005.jpg,line,62,482,571,553
013_nl_a134_315_01.jpg,line,72,26,577,118
013_nl_a134_315_01.jpg,line,72,487,577,579
013_nl_a134_315_01.jpg,line,74,168,579,260
013_nl_a134_315_01.jpg,line,74,266,579,357
013_nl_a134_315_01.jpg,line,74,393,579,484
014_sr_bo_02_002.jpg,line,45,51,605,140
014_sr_bo_02_002.jpg,line,46,167,606,256
014_sr_bo_02_002.jpg,line,46,254,606,342
014_sr_bo_02_002.jpg,line,46,364,606,451
014_sr_bo_02_002.jpg,line,46,514,607,602
015_sr_bo_01_005.jpg,line,39,25,597,126
015_sr_bo_01_005.jpg,line,38,155,596,257
015_sr_bo_01_005.jpg,line,38,280,596,381
015_sr_bo_01_005.jpg,line,38,392,596,494
015_sr_bo_01_005.jpg,line,40,510,598,611
016_sr_bo_03_006.jpg,line,52,50,564,145
016_sr_bo_03_006.jpg,line,51,178,585,245
016_sr_bo_03_006.jpg,line,52,294,586,361
016_sr_bo_03_006.jpg,line,52,380,586,448
016_sr_bo_03_006.jpg,line,52,480,586,547
017_nl_a132_262_02.jpg,line,66,25,576,124
017_nl_a132_262_02.jpg,line,69,149,579,248
017_nl_a132_262_02.jpg,line,68,259,578,358
017_nl_a132_262_02.jpg,line,67,361,577,460
017_nl_a132_262_02.jpg,line,66,472,577,571
018_sr_bo_06_004.jpg,line,60,57,577,150
018_sr_bo_06_004.jpg,line,61,187,578,280
018_sr_bo_06_004.jpg,line,58,272,574,365
018_sr_bo_06_004.jpg,line,58,382,574,475
018_sr_bo_06_004.jpg,line,57,478,574,571
019_sr_bo_04_007.jpg,line,63,32,579,161
019_sr_bo_04_007.jpg,line,63,140,581,245
019_sr_bo_04_007.jpg,line,60,267,579,372
019_sr_bo_04_007.jpg,line,60,393,578,498
019_sr_bo_04_007.jpg,line,59,520,578,625
019_sr_bo_04_007.jpg,line,18,142,47,368
020_sr_bo_05_007.jpg,line,58,46,570,121
020_sr_bo_05_007.jpg,line,58,147,567,260
020_sr_bo_05_007.jpg,line,58,245,567,358
020_sr_bo_05_007.jpg,line,58,443,567,556
020_sr_bo_05_007.jpg,line,58,347,567,460
021_nl_a143_016_01.jpg,line,70,58,566,146
021_nl_a143_016_01.jpg,line,70,185,566,273
021_nl_a143_016_01.jpg,line,71,276,567,364
021_nl_a143_016_01.jpg,line,71,382,567,470
021_nl_a143_016_01.jpg,line,70,494,577,587
022_sr_bo_02_005.jpg,line,7,160,23,250
022_sr_bo_02_005.jpg,line,43,52,595,154
022_sr_bo_02_005.jpg,line,43,163,595,266
022_sr_bo_02_005.jpg,line,43,246,595,348
022_sr_bo_02_005.jpg,line,43,376,595,479
022_sr_bo_02_005.jpg,line,48,507,600,610
023_kandal_tekvil_01_001.jpg,line,50,56,595,149
023_kandal_tekvil_01_001.jpg,line,50,174,595,267
023_kandal_tekvil_01_001.jpg,line,51,279,596,372
023_kandal_tekvil_01_001.jpg,line,52,376,597,469
023_kandal_tekvil_01_001.jpg,line,54,507,599,600
024_nl_a140_017_01.jpg,line,75,471,582,573
024_nl_a140_017_01.jpg,line,69,49,576,152
024_nl_a140_017_01.jpg,line,70,157,577,260
024_nl_a140_017_01.jpg,line,71,259,578,361
024_nl_a140_017_01.jpg,line,73,360,580,463
026_nl_a134_313_01.jpg,line,75,52,577,135
026_nl_a134_313_01.jpg,line,75,160,576,243
026_nl_a134_313_01.jpg,line,74,288,576,371
026_nl_a134_313_01.jpg,line,75,403,577,486
026_nl_a134_313_01.jpg,line,78,513,594,607
027_bi_042_004.jpg,line,434,37,601,132
027_bi_042_004.jpg,line,44,131,594,246
027_bi_042_004.jpg,line,41,251,591,375
027_bi_042_004.jpg,line,41,347,590,494
027_bi_042_004.jpg,line,43,460,595,604
028_sr_bo_04_005.jpg,line,63,54,577,145
028_sr_bo_04_005.jpg,line,64,164,578,267
028_sr_bo_04_005.jpg,line,65,243,578,389
028_sr_bo_04_005.jpg,line,64,352,582,469
028_sr_bo_04_005.jpg,line,63,474,577,608
029_efeo_046_05_69.jpg,line,79,100,588,142
029_efeo_046_05_69.jpg,line,75,177,590,237
029_efeo_046_05_69.jpg,line,77,271,586,326
029_efeo_046_05_69.jpg,line,77,370,471,452
029_efeo_046_05_69.jpg,line,6,244,28,452
030_nl_a133_288_01.jpg,line,68,56,573,127
030_nl_a133_288_01.jpg,line,72,178,578,248
030_nl_a133_288_01.jpg,line,68,286,574,356
030_nl_a133_288_01.jpg,line,68,395,573,466
030_nl_a133_288_01.jpg,line,68,531,573,602
031_efeo_010_01_03.jpg,line,11,49,622,149
031_efeo_010_01_03.jpg,line,11,137,622,237
031_efeo_010_01_03.jpg,line,7,241,617,341
031_efeo_010_01_03.jpg,line,5,358,616,458
031_efeo_010_01_03.jpg,line,14,508,624,608
033_pp_ttp_01_001.jpg,line,62,62,586,171
033_pp_ttp_01_001.jpg,line,60,181,583,290
033_pp_ttp_01_001.jpg,line,60,281,583,390
033_pp_ttp_01_001.jpg,line,58,380,581,489
033_pp_ttp_01_001.jpg,line,58,480,581,588
034_bi_042_012.jpg,line,43,39,597,118
034_bi_042_012.jpg,line,42,149,596,228
034_bi_042_012.jpg,line,39,281,593,360
034_bi_042_012.jpg,line,37,531,591,611
034_bi_042_012.jpg,line,37,382,592,461
035_nl_b393_069_02.jpg,line,39,20,599,153
035_nl_b393_069_02.jpg,line,39,139,598,272
035_nl_b393_069_02.jpg,line,39,244,598,377
035_nl_b393_069_02.jpg,line,39,344,598,477
035_nl_b393_069_02.jpg,line,39,451,599,584
036_kandal_tekvil_02_002b.jpg,line,28,41,612,139
036_kandal_tekvil_02_002b.jpg,line,28,148,612,246
036_kandal_tekvil_02_002b.jpg,line,28,250,612,348
036_kandal_tekvil_02_002b.jpg,line,28,340,611,438
036_kandal_tekvil_02_002b.jpg,line,29,464,612,562
037_nl_a158_250_01.jpg,line,61,39,576,129
037_nl_a158_250_01.jpg,line,61,147,574,244
037_nl_a158_250_01.jpg,line,62,258,571,322
037_nl_a158_250_01.jpg,line,61,359,571,462
037_nl_a158_250_01.jpg,line,65,489,555,612
038_nl_c189_424_01.jpg,line,52,40,584,118
038_nl_c189_424_01.jpg,line,52,139,585,217
038_nl_c189_424_01.jpg,line,52,262,584,339
038_nl_c189_424_01.jpg,line,54,385,586,463
038_nl_c189_424_01.jpg,line,54,514,586,592
039_nl_d853_107_01.jpg,line,33,8,601,195
039_nl_d853_107_01.jpg,line,33,153,602,297
039_nl_d853_107_01.jpg,line,33,256,599,406
039_nl_d853_107_01.jpg,line,34,352,599,503
039_nl_d853_107_01.jpg,line,38,472,602,629
039_nl_d853_107_01.jpg,line,7,214,18,310
039_nl_d853_107_01.jpg,line,8,334,24,467
041_pp_ttp_01_006b.jpg,line,62,0,579,135
041_pp_ttp_01_006b.jpg,line,62,135,579,271
041_pp_ttp_01_006b.jpg,line,61,276,578,412
041_pp_ttp_01_006b.jpg,line,60,503,578,639
041_pp_ttp_01_006b.jpg,line,60,397,577,533
042_efeo_046_01_50.jpg,line,80,84,580,170
042_efeo_046_01_50.jpg,line,78,181,188,255
042_efeo_046_01_50.jpg,line,53,202,73,240
042_efeo_046_01_50.jpg,line,54,261,70,365
043_sr_bo_04_006.jpg,line,36,265,48,378
043_sr_bo_04_006.jpg,line,64,65,581,127
043_sr_bo_04_006.jpg,line,61,168,584,253
043_sr_bo_04_006.jpg,line,61,273,584,358
043_sr_bo_04_006.jpg,line,62,364,585,450
043_sr_bo_04_006.jpg,line,62,501,584,586
044_sr_bo_03_005.jpg,line,51,5,585,152
044_sr_bo_03_005.jpg,line,52,143,584,237
044_sr_bo_03_005.jpg,line,52,263,584,357
044_sr_bo_03_005.jpg,line,53,364,585,459
044_sr_bo_03_005.jpg,line,48,472,592,584
045_nl_d901_464_02.jpg,line,51,63,588,209
045_nl_d901_464_02.jpg,line,50,195,592,341
045_nl_d901_464_02.jpg,line,52,311,595,463
045_nl_d901_464_02.jpg,line,50,424,585,634
046_nl_b109_197_01.jpg,line,56,51,586,135
046_nl_b109_197_01.jpg,line,55,163,585,247
046_nl_b109_197_01.jpg,line,52,273,597,359
046_nl_b109_197_01.jpg,line,52,381,597,468
046_nl_b109_197_01.jpg,line,54,471,599,558
048_nl_b393_070_02.jpg,line,39,42,584,161
048_nl_b393_070_02.jpg,line,40,146,584,265
048_nl_b393_070_02.jpg,line,40,269,584,388
048_nl_b393_070_02.jpg,line,39,380,584,499
048_nl_b393_070_02.jpg,line,35,479,579,598
049_nl_a134_312_02.jpg,line,71,18,570,167
049_nl_a134_312_02.jpg,line,71,180,570,295
049_nl_a134_312_02.jpg,line,72,289,568,397
049_nl_a134_312_02.jpg,line,67,377,569,464
049_nl_a134_312_02.jpg,line,68,478,574,600
050_nl_d847_026_01.jpg,line,62,82,582,158
050_nl_d847_026_01.jpg,line,62,186,582,263
050_nl_d847_026_01.jpg,line,63,276,583,353
050_nl_d847_026_01.jpg,line,63,355,583,432
050_nl_d847_026_01.jpg,line,62,470,583,547
051_nl_d847_025_01.jpg,line,63,99,579,166
051_nl_d847_025_01.jpg,line,62,200,578,268
051_nl_d847_025_01.jpg,line,62,292,578,359
051_nl_d847_025_01.jpg,line,64,388,580,455
051_nl_d847_025_01.jpg,line,65,484,580,551
052_nl_a140_017_02.jpg,line,72,28,587,153
052_nl_a140_017_02.jpg,line,71,136,586,261
052_nl_a140_017_02.jpg,line,70,244,584,369
052_nl_a140_017_02.jpg,line,69,339,584,463
052_nl_a140_017_02.jpg,line,69,460,584,585
053_kandal_tekvil_02_004.jpg,line,44,41,622,167
053_kandal_tekvil_02_004.jpg,line,42,153,620,280
053_kandal_tekvil_02_004.jpg,line,39,249,617,375
053_kandal_tekvil_02_004.jpg,line,35,345,614,472
053_kandal_tekvil_02_004.jpg,line,37,486,615,613
054_nl_a130_211_01.jpg,line,72,37,574,147
054_nl_a130_211_01.jpg,line,70,168,578,283
054_nl_a130_211_01.jpg,line,69,295,577,409
054_nl_a130_211_01.jpg,line,72,483,580,597
054_nl_a130_211_01.jpg,line,69,375,577,489
055_nl_d856_115_02.jpg,line,47,64,594,164
055_nl_d856_115_02.jpg,line,47,205,594,305
055_nl_d856_115_02.jpg,line,46,297,594,397
055_nl_d856_115_02.jpg,line,46,351,594,451
055_nl_d856_115_02.jpg,line,46,503,593,603
055_nl_d856_115_02.jpg,line,34,399,581,499
056_nl_a132_264_01.jpg,line,74,38,573,124
056_nl_a132_264_01.jpg,line,73,148,572,234
056_nl_a132_264_01.jpg,line,73,264,572,350
056_nl_a132_264_01.jpg,line,73,374,572,459
056_nl_a132_264_01.jpg,line,72,462,571,548
057_nl_b393_070_01.jpg,line,34,63,589,151
057_nl_b393_070_01.jpg,line,35,179,590,267
057_nl_b393_070_01.jpg,line,35,288,590,376
057_nl_b393_070_01.jpg,line,35,386,589,474
057_nl_b393_070_01.jpg,line,35,501,590,589
058_sr_bo_07_006.jpg,line,37,20,606,104
058_sr_bo_07_006.jpg,line,38,162,606,247
058_sr_bo_07_006.jpg,line,38,238,607,323
058_sr_bo_07_006.jpg,line,38,367,607,452
058_sr_bo_07_006.jpg,line,38,502,607,587
059_nl_a128_177_01.jpg,line,69,21,551,165
059_nl_a128_177_01.jpg,line,67,172,568,297
