filename,class,xmin,ymin,xmax,ymax
1.jpg,line,44,21,611,159
1.jpg,line,41,177,608,315
1.jpg,line,40,312,608,450
1.jpg,line,33,466,600,604
10.jpg,line,61,67,566,158
10.jpg,line,60,199,564,291
10.jpg,line,67,319,569,447
10.jpg,line,69,452,572,580
11.jpg,line,66,57,577,162
11.jpg,line,67,166,578,279
11.jpg,line,63,289,584,420
11.jpg,line,66,441,587,574
12.jpg,line,50,65,573,171
12.jpg,line,49,195,572,300
12.jpg,line,50,319,573,424
12.jpg,line,54,437,577,542
13.jpg,line,69,66,579,186
13.jpg,line,67,203,577,323
13.jpg,line,65,309,575,429
13.jpg,line,65,445,575,565
14.jpg,line,54,39,578,174
14.jpg,line,49,183,596,308
14.jpg,line,55,341,602,467
14.jpg,line,51,456,605,614
15.jpg,line,111,36,617,235
15.jpg,line,112,203,618,387
15.jpg,line,115,354,568,575
16.jpg,line,23,39,622,235
16.jpg,line,29,169,619,295
16.jpg,line,26,311,614,435
16.jpg,line,27,419,594,566
17.jpg,line,23,30,616,172
17.jpg,line,25,179,613,278
17.jpg,line,23,321,580,427
17.jpg,line,21,460,624,596
18.jpg,line,126,28,629,208
18.jpg,line,117,232,624,370
18.jpg,line,121,334,593,538
19.jpg,line,24,35,613,185
19.jpg,line,25,172,602,321
19.jpg,line,25,310,612,447
19.jpg,line,26,472,610,608
2.jpg,line,48,56,591,162
2.jpg,line,54,203,592,299
2.jpg,line,53,315,600,423
2.jpg,line,57,455,604,563
20.jpg,line,33,38,615,164
20.jpg,line,26,190,618,316
20.jpg,line,31,304,614,425
20.jpg,line,31,413,612,581
21.jpg,line,29,55,615,154
21.jpg,line,25,170,610,297
21.jpg,line,27,297,613,424
21.jpg,line,29,430,615,558
22.jpg,line,29,65,616,163
22.jpg,line,29,175,614,321
22.jpg,line,30,324,611,432
22.jpg,line,30,432,612,585
23.jpg,line,28,73,611,206
23.jpg,line,31,181,606,303
23.jpg,line,26,293,607,426
23.jpg,line,27,443,608,600
24.jpg,line,30,60,610,132
24.jpg,line,26,189,612,290
24.jpg,line,28,290,612,414
24.jpg,line,30,401,611,565
25.jpg,line,29,40,616,159
25.jpg,line,28,160,613,286
25.jpg,line,29,285,610,423
25.jpg,line,27,406,609,597
26.jpg,line,104,37,155,109
26.jpg,line,186,109,223,224
26.jpg,line,105,152,158,245
26.jpg,line,101,283,171,426
27.jpg,line,34,26,609,187
27.jpg,line,33,155,604,351
27.jpg,line,33,263,603,441
27.jpg,line,34,411,605,583
28.jpg,line,37,44,605,148
28.jpg,line,34,148,601,265
28.jpg,line,36,290,603,405
28.jpg,line,33,426,600,547
29.jpg,line,30,12,606,141
29.jpg,line,29,175,602,296
29.jpg,line,35,316,602,423
29.jpg,line,33,463,603,550
3.jpg,line,27,52,610,162
3.jpg,line,22,207,606,316
3.jpg,line,16,363,599,472
3.jpg,line,15,477,598,587
30.jpg,line,35,42,603,162
30.jpg,line,35,179,604,299
30.jpg,line,33,303,602,424
30.jpg,line,33,441,602,561
31.jpg,line,120,62,626,185
31.jpg,line,118,229,623,352
31.jpg,line,117,408,623,530
32.jpg,line,30,46,624,139
32.jpg,line,35,184,629,276
32.jpg,line,32,326,626,418
32.jpg,line,31,474,625,567
33.jpg,line,26,24,619,146
33.jpg,line,30,183,624,306
33.jpg,line,28,316,621,439
33.jpg,line,28,456,621,578
34.jpg,line,31,29,616,162
34.jpg,line,31,166,616,299
34.jpg,line,30,456,615,589
34.jpg,line,31,295,616,428
35.jpg,line,28,37,617,173
35.jpg,line,32,176,620,313
35.jpg,line,28,330,616,467
35.jpg,line,27,448,615,585
36.jpg,line,26,13,609,158
36.jpg,line,25,168,607,313
36.jpg,line,25,297,607,442
36.jpg,line,26,445,609,590
37.jpg,line,27,38,619,163
37.jpg,line,25,174,617,299
37.jpg,line,24,317,616,442
37.jpg,line,24,467,616,592
38.jpg,line,27,38,612,173
38.jpg,line,28,178,613,313
38.jpg,line,24,337,609,473
38.jpg,line,23,450,608,585
39.jpg,line,133,35,623,245
39.jpg,line,132,238,617,388
39.jpg,line,126,412,622,585
4.jpg,line,35,51,583,158
4.jpg,line,39,184,587,291
4.jpg,line,38,319,586,426
4.jpg,line,30,475,578,582
40.jpg,line,23,70,616,175
40.jpg,line,17,221,610,325
40.jpg,line,15,334,609,439
40.jpg,line,15,479,609,583
41.jpg,line,24,54,612,173
41.jpg,line,23,182,611,301
41.jpg,line,23,450,611,569
41.jpg,line,23,315,611,435
42.jpg,line,139,41,486,187
42.jpg,line,134,205,611,404
42.jpg,line,549,410,601,509
43.jpg,line,34,45,617,174
43.jpg,line,34,193,613,310
43.jpg,line,37,304,609,451
43.jpg,line,41,427,610,580
44.jpg,line,27,30,614,154
44.jpg,line,26,184,614,308
44.jpg,line,20,304,608,428
44.jpg,line,22,438,610,562
45.jpg,line,30,38,614,162
45.jpg,line,28,177,612,301
45.jpg,line,27,305,612,428
45.jpg,line,29,456,613,580
46.jpg,line,27,66,606,172
46.jpg,line,24,188,606,335
46.jpg,line,22,303,604,450
46.jpg,line,20,420,602,566
47.jpg,line,174,37,252,208
47.jpg,line,168,227,284,379
47.jpg,line,174,379,251,557
47.jpg,line,472,227,532,429
48.jpg,line,52,30,609,173
48.jpg,line,52,156,609,300
48.jpg,line,52,290,609,433
48.jpg,line,50,462,607,605
49.jpg,line,50,50,605,159
49.jpg,line,48,191,604,300
49.jpg,line,47,311,603,420
49.jpg,line,47,438,602,547
5.jpg,line,38,83,604,190
5.jpg,line,36,220,602,328
5.jpg,line,33,346,598,453
5.jpg,line,29,475,595,582
50.jpg,line,58,55,610,163
50.jpg,line,55,174,607,316
50.jpg,line,61,303,603,444
50.jpg,line,60,450,602,591
51.jpg,line,55,31,602,173
51.jpg,line,53,171,600,313
51.jpg,line,53,303,600,446
51.jpg,line,55,463,602,605
52.jpg,line,137,33,205,195
52.jpg,line,138,258,196,356
52.jpg,line,140,385,218,529
52.jpg,line,208,212,249,362
53.jpg,line,17,20,616,176
53.jpg,line,16,163,615,293
53.jpg,line,17,298,616,429
53.jpg,line,17,418,617,548
54.jpg,line,22,28,621,172
54.jpg,line,22,158,621,301
54.jpg,line,18,275,617,418
54.jpg,line,16,416,615,559
55.jpg,line,21,11,615,148
55.jpg,line,19,145,614,282
55.jpg,line,16,269,611,406
55.jpg,line,14,404,609,541
