filename,class,xmin,ymin,xmax,ymax
001_nl_b334_051_01.jpg,line,347,39,5105,100
001_nl_b334_051_01.jpg,line,350,117,5108,178
001_nl_b334_051_01.jpg,line,380,214,5139,275
001_nl_b334_051_01.jpg,line,383,302,5142,363
001_nl_b334_051_01.jpg,line,381,389,5140,451
002_nl_b393_077_01.jpg,line,298,48,5092,123
002_nl_b393_077_01.jpg,line,296,151,5090,226
002_nl_b393_077_01.jpg,line,294,225,5088,300
002_nl_b393_077_01.jpg,line,292,298,5086,373
002_nl_b393_077_01.jpg,line,290,375,5084,450
002_nl_b393_077_01.jpg,line,36,202,154,304
003_sr_bo_05_001.jpg,line,470,59,4915,125
003_sr_bo_05_001.jpg,line,479,139,4882,205
003_sr_bo_05_001.jpg,line,474,228,4944,308
003_sr_bo_05_001.jpg,line,456,322,4925,392
003_sr_bo_05_001.jpg,line,441,407,4949,482
004_sr_bo_06_001.jpg,line,486,53,4927,135
004_sr_bo_06_001.jpg,line,472,139,4904,215
004_sr_bo_06_001.jpg,line,467,211,4965,287
004_sr_bo_06_001.jpg,line,472,287,4956,359
004_sr_bo_06_001.jpg,line,462,375,4927,445
005_nl_a128_173_02.jpg,line,572,4,4950,115
005_nl_a128_173_02.jpg,line,608,117,4960,186
005_nl_a128_173_02.jpg,line,573,212,4924,281
005_nl_a128_173_02.jpg,line,576,291,4927,360
005_nl_a128_173_02.jpg,line,574,378,4925,447
006_sr_bo_05_004.jpg,line,461,31,4896,139
006_sr_bo_05_004.jpg,line,460,137,4895,245
006_sr_bo_05_004.jpg,line,458,220,4882,280
006_sr_bo_05_004.jpg,line,466,313,4890,373
006_sr_bo_05_004.jpg,line,464,396,4888,456
007_efeo_201_01_04.jpg,line,751,65,5151,116
007_efeo_201_01_04.jpg,line,749,146,5148,197
007_efeo_201_01_04.jpg,line,746,231,5145,282
007_efeo_201_01_04.jpg,line,738,307,5138,358
007_efeo_201_01_04.jpg,line,736,375,5135,426
008_nl_a161_304_01.jpg,line,525,48,4969,119
008_nl_a161_304_01.jpg,line,528,136,4972,208
008_nl_a161_304_01.jpg,line,526,215,4970,287
008_nl_a161_304_01.jpg,line,524,300,4968,371
008_nl_a161_304_01.jpg,line,566,375,5009,446
009_sr_bo_07_004.jpg,line,298,18,5202,69
009_sr_bo_07_004.jpg,line,291,102,5196,153
009_sr_bo_07_004.jpg,line,308,201,5213,252
009_sr_bo_07_004.jpg,line,284,316,5188,367
009_sr_bo_07_004.jpg,line,282,395,5186,446
010_nl_a158_253_02.jpg,line,577,9,4978,107
010_nl_a158_253_02.jpg,line,585,125,4986,222
010_nl_a158_253_02.jpg,line,583,205,4984,303
010_nl_a158_253_02.jpg,line,576,311,4977,409
010_nl_a158_253_02.jpg,line,565,387,4966,484
011_sr_bo_04_002.jpg,line,547,18,4951,102
011_sr_bo_04_002.jpg,line,540,116,4944,199
011_sr_bo_04_002.jpg,line,534,203,4938,287
011_sr_bo_04_002.jpg,line,542,276,4946,360
011_sr_bo_04_002.jpg,line,567,368,4971,452
011_sr_bo_04_002.jpg,line,292,191,443,257
012_sr_bo_05_005.jpg,line,540,59,4908,115
012_sr_bo_05_005.jpg,line,534,134,4902,190
012_sr_bo_05_005.jpg,line,532,211,4900,267
012_sr_bo_05_005.jpg,line,540,296,4908,351
012_sr_bo_05_005.jpg,line,539,376,4907,432
013_nl_a134_315_01.jpg,line,624,20,4964,92
013_nl_a134_315_01.jpg,line,626,381,4966,452
013_nl_a134_315_01.jpg,line,639,131,4979,203
013_nl_a134_315_01.jpg,line,639,207,4979,279
013_nl_a134_315_01.jpg,line,639,307,4979,378
014_sr_bo_02_002.jpg,line,391,40,5205,109
014_sr_bo_02_002.jpg,line,399,131,5213,200
014_sr_bo_02_002.jpg,line,402,198,5216,267
014_sr_bo_02_002.jpg,line,400,284,5214,353
014_sr_bo_02_002.jpg,line,403,402,5217,471
015_sr_bo_01_005.jpg,line,340,19,5131,98
015_sr_bo_01_005.jpg,line,334,121,5125,200
015_sr_bo_01_005.jpg,line,332,219,5124,298
015_sr_bo_01_005.jpg,line,331,306,5122,386
015_sr_bo_01_005.jpg,line,348,398,5139,477
016_sr_bo_03_006.jpg,line,447,39,4854,113
016_sr_bo_03_006.jpg,line,445,139,5032,191
016_sr_bo_03_006.jpg,line,453,229,5040,282
016_sr_bo_03_006.jpg,line,451,297,5038,350
016_sr_bo_03_006.jpg,line,450,375,5037,427
017_nl_a132_262_02.jpg,line,568,19,4953,97
017_nl_a132_262_02.jpg,line,595,116,4980,194
