filename,class,xmin,ymin,xmax,ymax
1.jpg,line,19,31,629,145
1.jpg,line,16,198,626,312
1.jpg,line,13,341,626,443
1.jpg,line,10,473,623,575
10.jpg,line,14,43,623,161
10.jpg,line,13,173,622,291
10.jpg,line,13,323,622,442
10.jpg,line,12,463,621,581
11.jpg,line,19,81,612,202
11.jpg,line,19,203,611,324
11.jpg,line,17,315,609,436
11.jpg,line,16,442,609,563
12.jpg,line,145,82,624,188
12.jpg,line,103,215,618,303
12.jpg,line,25,335,616,441
12.jpg,line,18,459,609,565
13.jpg,line,16,96,626,199
13.jpg,line,15,217,625,320
13.jpg,line,11,356,621,459
13.jpg,line,11,453,621,556
14.jpg,line,25,60,615,171
14.jpg,line,22,185,634,288
14.jpg,line,16,303,625,421
14.jpg,line,17,435,626,553
15.jpg,line,25,48,622,147
15.jpg,line,0,179,618,276
15.jpg,line,0,305,618,402
15.jpg,line,0,426,618,523
16.jpg,line,23,65,628,150
16.jpg,line,16,176,622,288
16.jpg,line,9,310,634,433
16.jpg,line,15,448,619,578
17.jpg,line,1,192,634,299
17.jpg,line,1,52,634,159
17.jpg,line,0,323,621,448
17.jpg,line,0,464,608,581
18.jpg,line,8,59,597,146
18.jpg,line,4,194,627,291
18.jpg,line,1,327,631,432
18.jpg,line,0,457,635,584
19.jpg,line,16,76,620,189
19.jpg,line,12,212,615,325
19.jpg,line,11,325,626,445
19.jpg,line,11,456,625,576
2.jpg,line,19,43,617,161
2.jpg,line,12,184,632,312
2.jpg,line,11,336,631,464
2.jpg,line,5,480,625,608
20.jpg,line,15,41,623,148
20.jpg,line,12,178,620,286
20.jpg,line,11,316,619,423
20.jpg,line,10,466,618,574
21.jpg,line,18,55,622,151
21.jpg,line,16,199,620,295
21.jpg,line,15,330,619,426
21.jpg,line,15,484,619,580
22.jpg,line,20,54,629,171
22.jpg,line,13,208,621,325
22.jpg,line,11,333,619,449
22.jpg,line,12,474,621,591
23.jpg,line,13,52,607,153
23.jpg,line,11,196,605,297
23.jpg,line,7,309,603,431
23.jpg,line,16,441,612,563
24.jpg,line,11,47,628,165
24.jpg,line,10,177,626,295
24.jpg,line,9,310,626,428
24.jpg,line,4,447,621,565
25.jpg,line,15,44,626,158
25.jpg,line,12,184,635,297
25.jpg,line,12,321,635,435
25.jpg,line,12,470,635,584
26.jpg,line,16,66,618,145
26.jpg,line,16,194,629,296
26.jpg,line,15,318,632,429
26.jpg,line,15,458,631,569
27.jpg,line,21,56,622,172
27.jpg,line,18,178,627,315
27.jpg,line,19,330,628,467
27.jpg,line,16,482,625,619
28.jpg,line,10,37,624,166
28.jpg,line,9,183,623,313
28.jpg,line,8,320,622,450
28.jpg,line,8,463,585,583
29.jpg,line,8,47,622,176
29.jpg,line,9,188,622,318
29.jpg,line,11,355,624,484
29.jpg,line,8,473,621,602
3.jpg,line,14,58,608,175
3.jpg,line,14,201,302,313
30.jpg,line,15,48,629,154
30.jpg,line,11,188,624,318
30.jpg,line,12,335,626,441
30.jpg,line,11,462,625,568
31.jpg,line,17,42,622,159
31.jpg,line,16,178,625,299
31.jpg,line,15,320,623,442
31.jpg,line,14,451,623,572
32.jpg,line,19,48,613,165
32.jpg,line,13,199,630,305
32.jpg,line,8,336,630,442
32.jpg,line,5,478,627,584
33.jpg,line,9,30,629,132
33.jpg,line,7,169,627,284
33.jpg,line,5,313,625,428
33.jpg,line,5,463,625,578
34.jpg,line,16,44,626,174
34.jpg,line,11,191,622,321
34.jpg,line,7,456,618,586
34.jpg,line,10,331,621,461
35.jpg,line,15,67,619,166
35.jpg,line,15,184,618,283
35.jpg,line,13,333,617,432
35.jpg,line,15,463,619,562
36.jpg,line,17,40,629,171
36.jpg,line,14,202,635,326
36.jpg,line,11,336,631,460
36.jpg,line,9,473,629,597
37.jpg,line,11,37,627,166
37.jpg,line,10,173,626,302
37.jpg,line,10,298,625,426
37.jpg,line,10,458,625,587
38.jpg,line,11,59,631,176
38.jpg,line,11,191,631,308
38.jpg,line,11,318,631,434
