filename,class,xmin,ymin,xmax,ymax
001_nl_b334_051_01_jpg.rf.477f59a8aeb9d6665154666b2da3193f.jpg,line,42,52,595,130
001_nl_b334_051_01_jpg.rf.477f59a8aeb9d6665154666b2da3193f.jpg,line,42,151,595,230
001_nl_b334_051_01_jpg.rf.477f59a8aeb9d6665154666b2da3193f.jpg,line,45,275,599,354
001_nl_b334_051_01_jpg.rf.477f59a8aeb9d6665154666b2da3193f.jpg,line,46,388,599,467
001_nl_b334_051_01_jpg.rf.477f59a8aeb9d6665154666b2da3193f.jpg,line,46,500,599,578
002_nl_b393_077_01_jpg.rf.8c80e372da5d7a9e8e55c41db65614bf.jpg,line,36,63,594,159
002_nl_b393_077_01_jpg.rf.8c80e372da5d7a9e8e55c41db65614bf.jpg,line,36,196,594,292
002_nl_b393_077_01_jpg.rf.8c80e372da5d7a9e8e55c41db65614bf.jpg,line,35,289,593,385
002_nl_b393_077_01_jpg.rf.8c80e372da5d7a9e8e55c41db65614bf.jpg,line,35,383,593,479
002_nl_b393_077_01_jpg.rf.8c80e372da5d7a9e8e55c41db65614bf.jpg,line,35,482,593,578
002_nl_b393_077_01_jpg.rf.8c80e372da5d7a9e8e55c41db65614bf.jpg,line,5,260,19,391
003_sr_bo_05_001_jpg.rf.981ac9281f1b8ef86b16650644396cfc.jpg,line,56,78,573,161
003_sr_bo_05_001_jpg.rf.981ac9281f1b8ef86b16650644396cfc.jpg,line,57,179,569,264
003_sr_bo_05_001_jpg.rf.981ac9281f1b8ef86b16650644396cfc.jpg,line,57,294,577,396
003_sr_bo_05_001_jpg.rf.981ac9281f1b8ef86b16650644396cfc.jpg,line,54,414,574,504
003_sr_bo_05_001_jpg.rf.981ac9281f1b8ef86b16650644396cfc.jpg,line,52,522,577,618
004_sr_bo_06_001_jpg.rf.e0e9f661afafab53bcd1e20a25a7fcd2.jpg,line,58,69,575,174
004_sr_bo_06_001_jpg.rf.e0e9f661afafab53bcd1e20a25a7fcd2.jpg,line,56,180,572,277
004_sr_bo_06_001_jpg.rf.e0e9f661afafab53bcd1e20a25a7fcd2.jpg,line,55,272,579,369
004_sr_bo_06_001_jpg.rf.e0e9f661afafab53bcd1e20a25a7fcd2.jpg,line,56,369,578,461
004_sr_bo_06_001_jpg.rf.e0e9f661afafab53bcd1e20a25a7fcd2.jpg,line,55,481,574,572
005_nl_a128_173_02_jpg.rf.3652201072a3df4dc195bdbfce4fc280.jpg,line,68,7,577,149
005_nl_a128_173_02_jpg.rf.3652201072a3df4dc195bdbfce4fc280.jpg,line,72,152,578,240
005_nl_a128_173_02_jpg.rf.3652201072a3df4dc195bdbfce4fc280.jpg,line,68,273,574,361
005_nl_a128_173_02_jpg.rf.3652201072a3df4dc195bdbfce4fc280.jpg,line,68,374,574,462
005_nl_a128_173_02_jpg.rf.3652201072a3df4dc195bdbfce4fc280.jpg,line,68,486,574,574
006_sr_bo_05_004_jpg.rf.e3ecd8ac4a95fb5a9c5efe356c60a72d.jpg,line,55,41,571,179
006_sr_bo_05_004_jpg.rf.e3ecd8ac4a95fb5a9c5efe356c60a72d.jpg,line,55,177,571,316
006_sr_bo_05_004_jpg.rf.e3ecd8ac4a95fb5a9c5efe356c60a72d.jpg,line,55,283,570,360
006_sr_bo_05_004_jpg.rf.e3ecd8ac4a95fb5a9c5efe356c60a72d.jpg,line,55,402,570,479
006_sr_bo_05_004_jpg.rf.e3ecd8ac4a95fb5a9c5efe356c60a72d.jpg,line,55,508,570,585
007_efeo_201_01_04_jpg.rf.4d5333400411f455518682884dd0610a.jpg,line,89,84,601,150
007_efeo_201_01_04_jpg.rf.4d5333400411f455518682884dd0610a.jpg,line,88,188,600,254
007_efeo_201_01_04_jpg.rf.4d5333400411f455518682884dd0610a.jpg,line,88,297,600,363
007_efeo_201_01_04_jpg.rf.4d5333400411f455518682884dd0610a.jpg,line,87,395,599,460
007_efeo_201_01_04_jpg.rf.4d5333400411f455518682884dd0610a.jpg,line,87,481,599,547
008_nl_a161_304_01_jpg.rf.1fc2bfa549ce4e03a0d892de52bdd645.jpg,line,62,63,579,154
008_nl_a161_304_01_jpg.rf.1fc2bfa549ce4e03a0d892de52bdd645.jpg,line,63,176,580,268
008_nl_a161_304_01_jpg.rf.1fc2bfa549ce4e03a0d892de52bdd645.jpg,line,63,277,580,369
008_nl_a161_304_01_jpg.rf.1fc2bfa549ce4e03a0d892de52bdd645.jpg,line,62,385,579,477
008_nl_a161_304_01_jpg.rf.1fc2bfa549ce4e03a0d892de52bdd645.jpg,line,67,481,584,573
